Id;Default
0;OFF
10;INIT_1
11;INIT_2
12;INIT_3
90;HOMING_1
91;HOMING_2
100;IDLE
110;OPEN_FILE
120;CLOSE_FILE
130;CHANGE_MATERIAL_1
131;CHANGE_MATERIAL_2
132;CHANGE_MATERIAL_3
200;READY
300;PREP_PRINTING
301;PREP_PRINTING_HEX_1
302;PREP_PRINTING_HEX_2
303;PREP_PRINTING_HEX_3
304;PREP_PRINTING_HEX_4
305;PREP_PRINTING_EXT
306;PREP_PRINTING_HEX_5
307;PREP_PRINTING_HEX_6
308;PREP_PRINTING_HEX_7
310;READ_FILE
320;EXECUTE_LINE
330;WRITE_KOS
331;WRITE_FEED
335;WRITE_PROG
340;EXTRUDER_ON_1
341;EXTRUDER_ON_2
350;EXTRUDER_OFF_1
351;START_EXTRUDING
352;EXTRUDER_OFF_2
360;STOP_EXTRUDING
390;PAUSE
400;ABORTED
500;FINISHED
600;SHUTDOWN
;
